id	datetime	time	program_name	compiler	base_opt	optimization_flags	width	cpu_name	cpu_mhz	cpu_cache	apic	clflush	cmov	constant	cx8	de	dts	fpu	fxsr	lm	mca	mce	mmx	msr	mtrr	nx	pae	pat	pge	pse	pse36	rdtscp	sep	ss	sse	sse2	tsc	vme
728ffcc8f6a5edf477beb7445a0119d3	2013-05-22 14:02:47	0.0583256006241	ludcmp	gcc	-O2	None	92	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True
728ffcc8f6a5edf477beb7445a011de4	2013-05-22 14:02:43	36.4095994949	ludcmp	gcc	-O2	None	791	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True
728ffcc8f6a5edf477beb7445a0125b5	2013-05-22 14:00:16	17.2397652626	ludcmp	gcc	-O2	None	616	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True
728ffcc8f6a5edf477beb7445a012dd7	2013-05-22 13:59:06	0.0599862098694	ludcmp	gcc	-O2	None	93	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True
728ffcc8f6a5edf477beb7445a013696	2013-05-22 13:59:03	0.355207300186	ludcmp	gcc	-O2	None	169	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True
728ffcc8f6a5edf477beb7445a013d57	2013-05-22 13:58:50	19.5534009933	ludcmp	gcc	-O2	None	642	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True
728ffcc8f6a5edf477beb7445a014a6c	2013-05-22 13:57:30	4.15618362427	ludcmp	gcc	-O2	None	385	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True
728ffcc8f6a5edf477beb7445a01571b	2013-05-22 13:57:13	26.4371142149	ludcmp	gcc	-O2	None	711	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True
728ffcc8f6a5edf477beb7445a0162dc	2013-05-22 13:55:25	30.4634362221	ludcmp	gcc	-O2	None	725	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True
728ffcc8f6a5edf477beb7445a016ab0	2013-05-22 13:53:22	0.879778194427	ludcmp	gcc	-O2	None	229	Intel(R) Core(TM)2 Quad  CPU   Q8200  @ 2.33GHz	2333.359	2048	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True
