id	datetime	time	program_name	compiler	base_opt	optimization_flags	width	height	cpu_name	cpu_mhz	cpu_cache	apic	clflush	cmov	constant	cx8	de	dts	fpu	fxsr	ht	lm	mca	mce	mmx	msr	mtrr	nx	pae	pat	pge	pse	pse36	rdtscp	sep	ss	sse	sse2	syscall	tsc	vme
2683fcdac236c4cb7dca587e5f91a544	2013-05-20 03:49:50	91.0658328128	ludcmp	gcc	-O2	None	524	524	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f91b454	2013-05-20 03:43:40	90.8256930947	ludcmp	gcc	-O2	None	237	237	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f91bc3f	2013-05-20 03:37:34	90.841668334	ludcmp	gcc	-O2	None	691	691	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f91c02b	2013-05-20 03:31:27	90.7112541032	ludcmp	gcc	-O2	None	329	329	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f91c1e3	2013-05-20 03:25:22	90.6024745131	ludcmp	gcc	-O2	None	818	818	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f91cbf6	2013-05-20 03:19:17	90.6263887978	ludcmp	gcc	-O2	None	533	533	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f91cf95	2013-05-20 03:13:11	90.7182460475	ludcmp	gcc	-O2	None	419	419	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f91dd90	2013-05-20 03:07:06	90.6527049613	ludcmp	gcc	-O2	None	697	697	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f91e80c	2013-05-20 03:01:00	90.6632826996	ludcmp	gcc	-O2	None	22	22	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f91e877	2013-05-20 02:54:55	90.7885027242	ludcmp	gcc	-O2	None	877	877	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f91f318	2013-05-20 02:48:49	90.8893289804	ludcmp	gcc	-O2	None	648	648	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f91f345	2013-05-20 02:42:42	90.6915766747	ludcmp	gcc	-O2	None	997	997	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f920195	2013-05-20 02:36:24	90.9139809847	ludcmp	gcc	-O2	None	293	293	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f920199	2013-05-20 02:30:19	90.702228117	ludcmp	gcc	-O2	None	663	663	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f920b45	2013-05-20 02:24:14	90.9568524578	ludcmp	gcc	-O2	None	611	611	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f920c65	2013-05-20 02:17:55	90.9885033464	ludcmp	gcc	-O2	None	277	277	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f921421	2013-05-20 02:11:48	90.9347682197	ludcmp	gcc	-O2	None	580	580	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f921fb9	2013-05-20 02:05:28	90.7104818082	ludcmp	gcc	-O2	None	654	654	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f922cdc	2013-05-20 01:59:22	90.7811880374	ludcmp	gcc	-O2	None	351	351	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f922f61	2013-05-20 01:53:16	90.9156960917	ludcmp	gcc	-O2	None	443	443	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f9239a3	2013-05-20 01:47:10	90.9777435446	ludcmp	gcc	-O2	None	162	162	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f92426d	2013-05-20 01:41:03	90.9265762639	ludcmp	gcc	-O2	None	764	764	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f924559	2013-05-20 01:34:57	90.9246309614	ludcmp	gcc	-O2	None	476	476	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f92553a	2013-05-20 01:28:50	90.754684124	ludcmp	gcc	-O2	None	361	361	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f92575c	2013-05-20 01:22:44	90.755457077	ludcmp	gcc	-O2	None	908	908	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
2683fcdac236c4cb7dca587e5f92632c	2013-05-20 01:16:38	90.7504564047	ludcmp	gcc	-O2	None	993	993	Intel(R) Core(TM) i5 CPU       M 460  @ 2.53GHz	2527.049	3072	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True
